0.961,0.0098,0.0194,0.0098
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.0066,0.3322,0.3289,0.3322
0.961,0.0098,0.0194,0.0098
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.0066,0.3322,0.3289,0.3322
0.4901,0.0099,0.0099,0.4901
0.0098,0.0194,0.0098,0.961
0.0098,0.0194,0.0098,0.961
0.0002,0.0196,0.0098,0.9704
0.4925,0.005,0.4975,0.005
0.3311,0.0066,0.3344,0.3279
0.0099,0.4852,0.495,0.0099
0.0098,0.4806,0.4902,0.0194
0.4901,0.005,0.495,0.0099
0.3289,0.0066,0.3322,0.3322
0.0067,0.33,0.3333,0.33
0.0066,0.3279,0.3311,0.3344
0.3944,0.006,0.3984,0.2012
0.0192,0.0098,0.0194,0.9516
0.0066,0.3289,0.3322,0.3322
0.005,0.25,0.25,0.495
0.2488,0.0075,0.2512,0.4925
0.0098,0.0099,0.0099,0.9704
0.0002,0.0196,0.01,0.9702
0.0002,0.0194,0.0098,0.9706
0.495,0.005,0.495,0.005
0.2512,0.2488,0.4925,0.0075
0.4925,0.0075,0.2512,0.2488
0.25,0.25,0.25,0.25
0.3322,0.1678,0.4934,0.0066
0.0099,0.4901,0.4901,0.0099
0.25,0.25,0.25,0.25
0.0075,0.4925,0.2488,0.2512
0.4934,0.0066,0.3322,0.1678
0.25,0.25,0.25,0.25
0.4901,0.0099,0.0099,0.4901
0.2488,0.2512,0.0075,0.4925
0.25,0.25,0.25,0.25
0.0066,0.4934,0.1678,0.3322
0.1678,0.3322,0.0066,0.4934
0.005,0.495,0.005,0.495
0.01,0.0001,0.98,0.0099
0.01,0.0002,0.9702,0.0196
0.0099,0.005,0.495,0.4901
0.0099,0.005,0.4901,0.495
0.0099,0.005,0.9752,0.0099
0.0098,0.0098,0.961,0.0194
0.006,0.2,0.398,0.396
0.006,0.2012,0.3944,0.3984
0.0099,0.0034,0.6556,0.3311
0.0099,0.0066,0.3322,0.6513
0.0098,0.0098,0.0194,0.961
0.0098,0.0099,0.0099,0.9704
0.0066,0.1678,0.4934,0.3322
0.005,0.25,0.25,0.495
0.0034,0.3311,0.0099,0.6556
0.0034,0.3322,0.0066,0.6578
0.3322,0.0034,0.6578,0.0066
0.0099,0.0098,0.9704,0.0099
0.2012,0.006,0.3984,0.3944
0.005,0.0099,0.495,0.4901
0.3311,0.0034,0.6556,0.0099
0.0098,0.0098,0.961,0.0194
0.2,0.006,0.396,0.398
0.005,0.0099,0.4901,0.495
0.25,0.005,0.495,0.25
0.0066,0.0099,0.6513,0.3322
0.0098,0.0098,0.0194,0.961
0.0002,0.01,0.0196,0.9702
0.1678,0.0066,0.3322,0.4934
0.0034,0.0099,0.3311,0.6556
0.005,0.0099,0.0099,0.9752
0.0001,0.01,0.0099,0.98
0.0099,0.0001,0.9801,0.0099
0.0098,0.0002,0.9706,0.0194
0.005,0.005,0.4975,0.4925
0.005,0.005,0.495,0.495
0.0099,0.0001,0.98,0.01
0.0098,0.0002,0.9704,0.0196
0.005,0.005,0.495,0.495
0.005,0.005,0.4925,0.4975
0.0066,0.0034,0.6578,0.3322
0.005,0.005,0.495,0.495
0.0002,0.0098,0.0196,0.9704
0.0002,0.0098,0.0194,0.9706
0.005,0.005,0.495,0.495
0.0034,0.0066,0.3322,0.6578
0.0001,0.0099,0.01,0.98
0.0001,0.0099,0.0099,0.9801
